16/12/2022 10:38:00AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22842977941036224 | Price: 0.43 |
16/12/2022 10:38:06AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.20050939917564392 | Price: 0.43 |
16/12/2022 10:38:15AM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.24003934860229492 | Price: 0.42 |
16/12/2022 10:38:47AM | Item: MAG-7 | Popdog (Field-Tested) | Float: 0.17413614690303802 | Price: 0.36 |
16/12/2022 09:47:11AM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.18917933106422424 | Price: 0.37 |
16/12/2022 09:49:44AM | Item: Sawed-Off | Spirit Board (Field-Tested) | Float: 0.1621086448431015 | Price: 0.38 |
16/12/2022 09:50:42AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22875413298606873 | Price: 0.42 |
16/12/2022 09:51:02AM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.08006319403648376 | Price: 0.89 |
16/12/2022 09:55:05AM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.1669469028711319 | Price: 0.38 |
16/12/2022 10:00:09AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22842977941036224 | Price: 0.43 |
16/12/2022 10:00:15AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.20050939917564392 | Price: 0.43 |
16/12/2022 10:10:01AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22842977941036224 | Price: 0.43 |
16/12/2022 10:10:07AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.20050939917564392 | Price: 0.43 |
16/12/2022 10:15:13AM | Item: Sawed-Off | Spirit Board (Field-Tested) | Float: 0.17179404199123383 | Price: 0.38 |
16/12/2022 10:19:58AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22842977941036224 | Price: 0.43 |
16/12/2022 10:20:04AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.20050939917564392 | Price: 0.43 |
16/12/2022 10:30:09AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22842977941036224 | Price: 0.43 |
16/12/2022 10:30:15AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.20050939917564392 | Price: 0.43 |
16/12/2022 10:30:34AM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07712414115667343 | Price: 0.89 |
16/12/2022 10:31:21AM | Item: P250 | Ripple (Minimal Wear) | Float: 0.10035254806280136 | Price: 0.82 |
16/12/2022 09:44:39AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 09:44:44AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 09:48:09AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 09:48:14AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 09:48:40AM | Item: MAC-10 | Classic Crate (Field-Tested) | Float: 0.1689247190952301 | Price: 0.34 |
16/12/2022 09:49:00AM | Item: SCAR-20 | Assault (Field-Tested) | Float: 0.15681111812591553 | Price: 0.37 |
16/12/2022 09:51:56AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.18400250375270844 | Price: 0.4 |
16/12/2022 09:52:01AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.15947474539279938 | Price: 0.42 |
16/12/2022 09:55:15AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.15947474539279938 | Price: 0.42 |
16/12/2022 09:55:35AM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07000696659088135 | Price: 0.89 |
16/12/2022 09:58:39AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 09:58:44AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 10:02:07AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 10:02:12AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 10:05:33AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.16730301082134247 | Price: 0.4 |
16/12/2022 10:09:02AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 10:09:07AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 10:12:24AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 10:12:29AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 10:15:08AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.18429876863956451 | Price: 0.37 |
16/12/2022 12:15:36PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21861426532268524 | Price: 0.43 |
16/12/2022 12:15:41PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21699903905391693 | Price: 0.43 |
16/12/2022 12:33:48PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.19044162333011627 | Price: 0.4 |
16/12/2022 12:33:54PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24557918310165405 | Price: 0.42 |
16/12/2022 01:00:11PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24731513857841492 | Price: 0.4 |
16/12/2022 01:00:20PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.1991247981786728 | Price: 0.41 |
16/12/2022 01:00:26PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.23257049918174744 | Price: 0.42 |
16/12/2022 01:00:40PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.08031073212623596 | Price: 0.88 |
16/12/2022 01:01:40PM | Item: P250 | Ripple (Minimal Wear) | Float: 0.12628649175167084 | Price: 0.82 |
16/12/2022 01:01:45PM | Item: P250 | Ripple (Minimal Wear) | Float: 0.10222563147544861 | Price: 0.83 |
16/12/2022 10:17:13PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.19881053268909454 | Price: 0.4 |
16/12/2022 10:17:18PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.2409263253211975 | Price: 0.4 |
16/12/2022 10:17:24PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.2279025912284851 | Price: 0.4 |
16/12/2022 10:17:30PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.18048489093780518 | Price: 0.41 |
16/12/2022 10:17:36PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.194787859916687 | Price: 0.43 |
16/12/2022 10:17:45PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.2438453733921051 | Price: 0.41 |
16/12/2022 10:17:51PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.22157418727874756 | Price: 0.43 |
16/12/2022 10:18:20PM | Item: Glock-18 | Death Rattle (Minimal Wear) | Float: 0.08106844872236252 | Price: 0.88 |
16/12/2022 10:18:42PM | Item: MAG-7 | Popdog (Field-Tested) | Float: 0.16862276196479797 | Price: 0.35 |
16/12/2022 10:23:20PM | Item: Dual Berettas | Elite 1.6 (Field-Tested) | Float: 0.1667121797800064 | Price: 0.36 |
16/12/2022 10:23:35PM | Item: XM1014 | Quicksilver (Field-Tested) | Float: 0.17771050333976746 | Price: 0.66 |
16/12/2022 10:23:45PM | Item: M249 | System Lock (Field-Tested) | Float: 0.27136993408203125 | Price: 0.62 |
16/12/2022 10:23:54PM | Item: SCAR-20 | Grotto (Field-Tested) | Float: 0.20321831107139587 | Price: 0.63 |
16/12/2022 10:47:51PM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.17901664972305298 | Price: 0.38 |
16/12/2022 10:53:48PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.1842290759086609 | Price: 0.4 |
